시도별,품목별,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
전국,약주,71.718,71.519,73.651,74.857,74.657,75.799,76.511,82.15,84.519,85.583,86.031,90.478,91.749,91.348,90.827,91.158,91.505,95.067,100,100.49
전국,건강기능식품,97.854,97.854,97.854,97.854,97.854,97.854,97.854,97.854,97.047,97.047,97.047,101.55,103.801,107.372,107.798,106.132,101.863,100.893,100,98.59
전국,내구재,92.319,91.583,90.87,90.096,88.924,88.083,93.113,98.842,100.988,100.996,99.524,99.398,99.027,98.513,99.406,99.985,99.799,99.764,100,100
전국,장롱,49.11,52.691,54.834,58.754,60.394,63.791,66.9,71.86,74.514,80.377,83.11,79.471,80.418,81.724,87.737,89.426,95.427,100.13,100,100.69
전국,침대,48.152,52.492,55.63,58.979,60.38,64.331,67.697,70.858,72.81,75.669,77.636,77.636,78.281,78.604,81.729,84.792,90.441,100,100,106.62
전국,거실장,49.586,52.391,55.038,58.479,59.966,63.192,67.091,73.09,74.503,79.445,81.756,81.001,85.078,86.178,88.803,90.642,95.093,98.312,100,103.61
전국,소파,57.329,62.582,62.892,65.644,66.464,68.297,72.87,79.697,80.874,83.751,84.795,79.176,75.733,80.016,86.826,92.734,96.556,100.87,100,99.41
전국,책상,52.978,54.734,57.267,60.497,61.782,64.263,67.616,71.144,71.144,75.876,77.121,75.51,77.939,81.951,84.711,88.327,96.068,98.256,100,105.31
전국,의자,69.54,75.295,75.543,75.704,75.079,74.682,74.638,80.322,85.495,91.65,96.901,102.37,101.136,105.593,105.252,96.675,95.876,98.783,100,102.06
전국,식탁,46.634,50.954,51.051,53.358,55.097,57.214,60.683,68.404,70.45,75.446,77.989,76.583,76.808,81.735,86.365,91.497,96.073,98.523,100,101.14
전국,싱크대,57.449,57.487,57.535,57.602,61.466,66.098,69.89,75.598,73.918,76.067,78.993,81.379,83.76,83.957,87.286,88.544,91.708,97.374,100,111.01
전국,전기밥솥,143.335,140.714,132.686,129.912,126.773,119.618,116.76,126.762,127.747,126.576,125.245,126.625,116.93,115.969,117.67,111.426,122.375,108.795,100,99.31
전국,가스레인지,86.36,86.182,86.275,97.699,97.74,96.503,99.271,103.952,105.083,103.891,103.7,108.377,115.824,110.968,117.815,105.116,107.058,101.54,100,106.69
전국,전자레인지,97.037,95.732,95.968,96.727,95.768,95.736,91.73,94.47,95.502,96.934,98.201,96.465,95.114,95.467,99.256,98.095,98.944,100.516,100,96.02
전국,냉장고,94.65,95.09,92.941,90.462,94.298,93.341,91.932,91.449,90.899,90.073,91.595,94.911,103.473,106.964,105.058,100.843,98.561,99.311,100,101.06
전국,김치냉장고,142.34,147.609,140.262,131.547,117.617,115.338,110.208,109.332,102.914,106.311,102.441,98.378,106.41,111.291,106.894,102.786,101.053,103.068,100,102.39
전국,에어컨,94.977,89.247,84.701,80.897,80.715,80.149,88.992,91.163,87.858,87.243,87.44,86.945,88.749,90.708,92.871,98.238,99.732,101.699,100,98.26
전국,선풍기,72.34,66.06,61.516,61.641,61.877,62.986,65.874,82.045,85.97,93.879,102.216,103.593,105.093,109.085,109.988,98.22,93.483,97.632,100,98.05
